conflict_label,is_conflict,station,stop_name,platform,trip_id,route_id,route_name,trip_headsign,scheduled_arrival,scheduled_departure,actual_arrival,delay_minutes,conflict_flags,severity,time_of_day,service_date,source
capacity_congestion_conflict,True,Glasgow Central,Glasgow Central,Platform 4,GLAS_EAST_0945_6337,east_coast_main_line,East Coast Main Line,York,09:45:00,09:47:00,11:05:00,80,Too many trains competing for limited platforms,severe,off_peak,2026-01-28,synthetic
headway_conflict,True,Birmingham New Street,Birmingham New Street,Platform 12,BIRM_WEST_1815_9197,west_coast_main_line,West Coast Main Line,Birmingham New Street,18:15:00,18:17:00,18:25:00,10,Insufficient time between consecutive trains,minor,evening_peak,2026-01-28,synthetic
headway_conflict,True,London St Pancras,London St Pancras,Platform 12,LOND_WEST_2200_4250,west_coast_main_line,West Coast Main Line,Glasgow Central,22:00:00,22:02:00,22:08:00,8,Insufficient time between consecutive trains,minor,night,2026-01-28,synthetic
capacity_congestion_conflict,True,Edinburgh Waverley,Edinburgh Waverley,Platform 6,EDIN_WEST_1430_6389,west_coast_main_line,West Coast Main Line,Glasgow Central,14:30:00,14:32:00,15:18:00,48,Too many trains competing for limited platforms,severe,off_peak,2026-01-28,synthetic
platform_conflict,True,Manchester Piccadilly,Manchester Piccadilly,Platform 1,MANC_GREA_1030_8961,great_western_main_line,Great Western Main Line,Bristol,10:30:00,10:32:00,11:03:00,33,Two trains scheduled for same platform at overlapping times,severe,off_peak,2026-01-28,synthetic
headway_conflict,True,Manchester Piccadilly,Manchester Piccadilly,Platform 7,MANC_EAST_1600_7524,east_coast_main_line,East Coast Main Line,Leeds,16:00:00,16:02:00,16:13:00,13,Insufficient time between consecutive trains,minor,off_peak,2026-01-28,synthetic
headway_conflict,True,Leeds,Leeds,Platform 4,LEED_WEST_2015_2409,west_coast_main_line,West Coast Main Line,Glasgow Central,20:15:00,20:17:00,20:22:00,7,Insufficient time between consecutive trains,minor,night,2026-01-28,synthetic
platform_conflict,True,London Euston,London Euston,Platform 4,LOND_EAST_1300_5761,east_coast_main_line,East Coast Main Line,Leeds,13:00:00,13:02:00,13:32:00,32,Two trains scheduled for same platform at overlapping times,severe,off_peak,2026-01-28,synthetic
capacity_congestion_conflict,True,London Kings Cross,London Kings Cross,Platform 9,LOND_EAST_1745_5999,east_coast_main_line,East Coast Main Line,Edinburgh Waverley,17:45:00,17:47:00,18:29:00,44,Too many trains competing for limited platforms,severe,evening_peak,2026-01-28,synthetic
transfer_timing_conflict,True,Manchester Piccadilly,Manchester Piccadilly,Platform 11,MANC_GREA_1600_3220,great_western_main_line,Great Western Main Line,Bristol,16:00:00,16:02:00,16:23:00,23,Insufficient connection time between services,moderate,off_peak,2026-01-28,synthetic
normal,False,Leeds,Leeds,Platform 2,LEED_EAST_1245_3729,east_coast_main_line,East Coast Main Line,Edinburgh Waverley,12:45:00,12:47:00,,0,,none,off_peak,2026-01-28,synthetic
platform_conflict,True,London St Pancras,London St Pancras,Platform 1,LOND_GREA_1045_8095,great_western_main_line,Great Western Main Line,Bristol,10:45:00,10:47:00,11:23:00,38,Two trains scheduled for same platform at overlapping times,severe,off_peak,2026-01-28,synthetic
platform_conflict,True,Glasgow Central,Glasgow Central,Platform 1,GLAS_MIDL_0915_4676,midland_main_line,Midland Main Line,Birmingham New Street,09:15:00,09:17:00,09:53:00,38,Two trains scheduled for same platform at overlapping times,severe,off_peak,2026-01-28,synthetic
delay_propagation_conflict,True,London Kings Cross,London Kings Cross,Platform 1,LOND_WEST_1245_4484,west_coast_main_line,West Coast Main Line,Birmingham New Street,12:45:00,12:47:00,12:59:00,14,Incoming delay affects downstream schedule,minor,off_peak,2026-01-28,synthetic
headway_conflict,True,London Waterloo,London Waterloo,Platform 8,LOND_WEST_1500_4964,west_coast_main_line,West Coast Main Line,Birmingham New Street,15:00:00,15:02:00,15:19:00,19,Insufficient time between consecutive trains,moderate,off_peak,2026-01-28,synthetic
capacity_congestion_conflict,True,London Kings Cross,London Kings Cross,Platform 4,LOND_GREA_0830_9550,great_western_main_line,Great Western Main Line,Bristol,08:30:00,08:32:00,09:06:00,36,Too many trains competing for limited platforms,severe,morning_peak,2026-01-28,synthetic
headway_conflict,True,London Waterloo,London Waterloo,Platform 3,LOND_SOUT_1015_2458,south_western_main_line,South Western Main Line,Southampton,10:15:00,10:17:00,10:23:00,8,Insufficient time between consecutive trains,minor,off_peak,2026-01-28,synthetic
service_gap_conflict,True,Leeds,Leeds,Platform 4,LEED_EAST_1130_7813,east_coast_main_line,East Coast Main Line,Edinburgh Waverley,11:30:00,11:32:00,12:51:00,81,Excessive gap in service on a route,severe,off_peak,2026-01-28,synthetic
headway_conflict,True,Birmingham New Street,Birmingham New Street,Platform 7,BIRM_SOUT_1330_1742,south_western_main_line,South Western Main Line,Southampton,13:30:00,13:32:00,13:37:00,7,Insufficient time between consecutive trains,minor,off_peak,2026-01-28,synthetic
headway_conflict,True,Birmingham New Street,Birmingham New Street,Platform 2,BIRM_WEST_1845_9111,west_coast_main_line,West Coast Main Line,Manchester Piccadilly,18:45:00,18:47:00,19:05:00,20,Insufficient time between consecutive trains,moderate,evening_peak,2026-01-28,synthetic
headway_conflict,True,London Victoria,London Victoria,Platform 4,LOND_MIDL_2145_3471,midland_main_line,Midland Main Line,Birmingham New Street,21:45:00,21:47:00,21:50:00,5,Insufficient time between consecutive trains,minor,night,2026-01-28,synthetic
delay_propagation_conflict,True,Birmingham New Street,Birmingham New Street,Platform 2,BIRM_WEST_0630_4514,west_coast_main_line,West Coast Main Line,Manchester Piccadilly,06:30:00,06:32:00,07:09:00,39,Incoming delay affects downstream schedule,severe,morning_peak,2026-01-28,synthetic
platform_conflict,True,Manchester Piccadilly,Manchester Piccadilly,Platform 1,MANC_EAST_0630_2805,east_coast_main_line,East Coast Main Line,York,06:30:00,06:32:00,07:05:00,35,Two trains scheduled for same platform at overlapping times,severe,morning_peak,2026-01-28,synthetic
capacity_congestion_conflict,True,Leeds,Leeds,Platform 8,LEED_EAST_1515_9558,east_coast_main_line,East Coast Main Line,Leeds,15:15:00,15:17:00,16:25:00,70,Too many trains competing for limited platforms,severe,off_peak,2026-01-28,synthetic
platform_conflict,True,Manchester Piccadilly,Manchester Piccadilly,Platform 13,MANC_WEST_0615_1046,west_coast_main_line,West Coast Main Line,Glasgow Central,06:15:00,06:17:00,06:40:00,25,Two trains scheduled for same platform at overlapping times,moderate,morning_peak,2026-01-28,synthetic
schedule_inconsistency_conflict,True,London Waterloo,London Waterloo,Platform 5,LOND_EAST_1530_3222,east_coast_main_line,East Coast Main Line,York,15:30:00,15:32:00,15:45:00,15,Schedule doesn't match published timetable,minor,off_peak,2026-01-28,synthetic
headway_conflict,True,Leeds,Leeds,Platform 1,LEED_EAST_1115_9622,east_coast_main_line,East Coast Main Line,York,11:15:00,11:17:00,11:21:00,6,Insufficient time between consecutive trains,minor,off_peak,2026-01-28,synthetic
schedule_inconsistency_conflict,True,London Waterloo,London Waterloo,Platform 7,LOND_EAST_1615_6500,east_coast_main_line,East Coast Main Line,York,16:15:00,16:17:00,16:38:00,23,Schedule doesn't match published timetable,moderate,off_peak,2026-01-28,synthetic
delay_propagation_conflict,True,Manchester Piccadilly,Manchester Piccadilly,Platform 3,MANC_EAST_2215_1040,east_coast_main_line,East Coast Main Line,Leeds,22:15:00,22:17:00,22:31:00,16,Incoming delay affects downstream schedule,moderate,night,2026-01-28,synthetic
headway_conflict,True,Glasgow Central,Glasgow Central,Platform 5,GLAS_EAST_0815_9161,east_coast_main_line,East Coast Main Line,Edinburgh Waverley,08:15:00,08:17:00,08:34:00,19,Insufficient time between consecutive trains,moderate,morning_peak,2026-01-28,synthetic
platform_conflict,True,Manchester Piccadilly,Manchester Piccadilly,Platform 8,MANC_WEST_1715_7721,west_coast_main_line,West Coast Main Line,Birmingham New Street,17:15:00,17:17:00,17:49:00,34,Two trains scheduled for same platform at overlapping times,severe,evening_peak,2026-01-28,synthetic
platform_conflict,True,York,York,Platform 2,YORK_WEST_1415_3562,west_coast_main_line,West Coast Main Line,Birmingham New Street,14:15:00,14:17:00,14:37:00,22,Two trains scheduled for same platform at overlapping times,moderate,off_peak,2026-01-28,synthetic
capacity_congestion_conflict,True,York,York,Platform 2,YORK_WEST_0815_1221,west_coast_main_line,West Coast Main Line,Glasgow Central,08:15:00,08:17:00,08:37:00,22,Too many trains competing for limited platforms,moderate,morning_peak,2026-01-28,synthetic
delay_propagation_conflict,True,London Waterloo,London Waterloo,Platform 5,LOND_MIDL_2045_4107,midland_main_line,Midland Main Line,Birmingham New Street,20:45:00,20:47:00,21:43:00,58,Incoming delay affects downstream schedule,severe,night,2026-01-28,synthetic
normal,False,Manchester Piccadilly,Manchester Piccadilly,Platform 10,MANC_EAST_2245_3945,east_coast_main_line,East Coast Main Line,Edinburgh Waverley,22:45:00,22:47:00,,0,,none,night,2026-01-28,synthetic
platform_conflict,True,London Euston,London Euston,Platform 14,LOND_WEST_2100_7178,west_coast_main_line,West Coast Main Line,Birmingham New Street,21:00:00,21:02:00,21:37:00,37,Two trains scheduled for same platform at overlapping times,severe,night,2026-01-28,synthetic
platform_conflict,True,Manchester Piccadilly,Manchester Piccadilly,Platform 3,MANC_SOUT_1200_6260,south_western_main_line,South Western Main Line,Southampton,12:00:00,12:02:00,12:31:00,31,Two trains scheduled for same platform at overlapping times,severe,off_peak,2026-01-28,synthetic
delay_propagation_conflict,True,London Euston,London Euston,Platform 16,LOND_SOUT_1915_9190,south_western_main_line,South Western Main Line,Southampton,19:15:00,19:17:00,20:00:00,45,Incoming delay affects downstream schedule,severe,evening_peak,2026-01-28,synthetic
headway_conflict,True,Leeds,Leeds,Platform 7,LEED_WEST_1600_2810,west_coast_main_line,West Coast Main Line,Birmingham New Street,16:00:00,16:02:00,16:17:00,17,Insufficient time between consecutive trains,moderate,off_peak,2026-01-28,synthetic
normal,False,London Waterloo,London Waterloo,Platform 8,LOND_MIDL_1630_3013,midland_main_line,Midland Main Line,Birmingham New Street,16:30:00,16:32:00,,0,,none,off_peak,2026-01-28,synthetic
delay_propagation_conflict,True,Manchester Piccadilly,Manchester Piccadilly,Platform 11,MANC_WEST_0815_5599,west_coast_main_line,West Coast Main Line,Glasgow Central,08:15:00,08:17:00,08:58:00,43,Incoming delay affects downstream schedule,severe,morning_peak,2026-01-28,synthetic
service_gap_conflict,True,Manchester Piccadilly,Manchester Piccadilly,Platform 1,MANC_EAST_1615_5913,east_coast_main_line,East Coast Main Line,Leeds,16:15:00,16:17:00,18:08:00,113,Excessive gap in service on a route,severe,off_peak,2026-01-28,synthetic
delay_propagation_conflict,True,London Victoria,London Victoria,Platform 3,LOND_EAST_1045_3397,east_coast_main_line,East Coast Main Line,Edinburgh Waverley,10:45:00,10:47:00,11:40:00,55,Incoming delay affects downstream schedule,severe,off_peak,2026-01-28,synthetic
schedule_inconsistency_conflict,True,Glasgow Central,Glasgow Central,Platform 3,GLAS_WEST_0830_2087,west_coast_main_line,West Coast Main Line,Glasgow Central,08:30:00,08:32:00,08:36:00,6,Schedule doesn't match published timetable,minor,morning_peak,2026-01-28,synthetic
capacity_congestion_conflict,True,London Victoria,London Victoria,Platform 2,LOND_EAST_1045_1657,east_coast_main_line,East Coast Main Line,Leeds,10:45:00,10:47:00,11:45:00,60,Too many trains competing for limited platforms,severe,off_peak,2026-01-28,synthetic
schedule_inconsistency_conflict,True,Birmingham New Street,Birmingham New Street,Platform 5,BIRM_WEST_1715_8696,west_coast_main_line,West Coast Main Line,Manchester Piccadilly,17:15:00,17:17:00,17:24:00,9,Schedule doesn't match published timetable,minor,evening_peak,2026-01-28,synthetic
platform_conflict,True,London Waterloo,London Waterloo,Platform 3,LOND_WEST_0745_1176,west_coast_main_line,West Coast Main Line,Glasgow Central,07:45:00,07:47:00,08:02:00,17,Two trains scheduled for same platform at overlapping times,moderate,morning_peak,2026-01-28,synthetic
delay_propagation_conflict,True,London Waterloo,London Waterloo,Platform 1,LOND_EAST_1015_7036,east_coast_main_line,East Coast Main Line,York,10:15:00,10:17:00,10:32:00,17,Incoming delay affects downstream schedule,moderate,off_peak,2026-01-28,synthetic
service_gap_conflict,True,Birmingham New Street,Birmingham New Street,Platform 7,BIRM_EAST_2045_4956,east_coast_main_line,East Coast Main Line,Leeds,20:45:00,20:47:00,22:01:00,76,Excessive gap in service on a route,severe,night,2026-01-28,synthetic
delay_propagation_conflict,True,London Waterloo,London Waterloo,Platform 5,LOND_SOUT_2215_2161,south_western_main_line,South Western Main Line,Southampton,22:15:00,22:17:00,23:14:00,59,Incoming delay affects downstream schedule,severe,night,2026-01-28,synthetic
platform_conflict,True,Leeds,Leeds,Platform 8,LEED_MIDL_0930_6722,midland_main_line,Midland Main Line,Birmingham New Street,09:30:00,09:32:00,10:08:00,38,Two trains scheduled for same platform at overlapping times,severe,off_peak,2026-01-28,synthetic
headway_conflict,True,London Euston,London Euston,Platform 8,LOND_GREA_1630_8594,great_western_main_line,Great Western Main Line,Bristol,16:30:00,16:32:00,16:48:00,18,Insufficient time between consecutive trains,moderate,off_peak,2026-01-28,synthetic
schedule_inconsistency_conflict,True,Edinburgh Waverley,Edinburgh Waverley,Platform 5,EDIN_SOUT_1645_6431,south_western_main_line,South Western Main Line,Southampton,16:45:00,16:47:00,17:10:00,25,Schedule doesn't match published timetable,moderate,off_peak,2026-01-28,synthetic
capacity_congestion_conflict,True,Manchester Piccadilly,Manchester Piccadilly,Platform 1,MANC_WEST_0730_8433,west_coast_main_line,West Coast Main Line,Manchester Piccadilly,07:30:00,07:32:00,08:36:00,66,Too many trains competing for limited platforms,severe,morning_peak,2026-01-28,synthetic
delay_propagation_conflict,True,London Victoria,London Victoria,Platform 7,LOND_MIDL_1815_1603,midland_main_line,Midland Main Line,Birmingham New Street,18:15:00,18:17:00,18:29:00,14,Incoming delay affects downstream schedule,minor,evening_peak,2026-01-28,synthetic
headway_conflict,True,London Waterloo,London Waterloo,Platform 5,LOND_EAST_1030_3718,east_coast_main_line,East Coast Main Line,Edinburgh Waverley,10:30:00,10:32:00,10:37:00,7,Insufficient time between consecutive trains,minor,off_peak,2026-01-28,synthetic
platform_conflict,True,York,York,Platform 3,YORK_EAST_0900_6337,east_coast_main_line,East Coast Main Line,Edinburgh Waverley,09:00:00,09:02:00,09:42:00,42,Two trains scheduled for same platform at overlapping times,severe,off_peak,2026-01-28,synthetic
transfer_timing_conflict,True,London Paddington,London Paddington,Platform 8,LOND_EAST_0845_6590,east_coast_main_line,East Coast Main Line,Leeds,08:45:00,08:47:00,09:05:00,20,Insufficient connection time between services,moderate,morning_peak,2026-01-28,synthetic
platform_conflict,True,Glasgow Central,Glasgow Central,Platform 7,GLAS_WEST_1530_7509,west_coast_main_line,West Coast Main Line,Birmingham New Street,15:30:00,15:32:00,16:11:00,41,Two trains scheduled for same platform at overlapping times,severe,off_peak,2026-01-28,synthetic
capacity_congestion_conflict,True,Manchester Piccadilly,Manchester Piccadilly,Platform 4,MANC_EAST_1630_6777,east_coast_main_line,East Coast Main Line,Leeds,16:30:00,16:32:00,17:45:00,75,Too many trains competing for limited platforms,severe,off_peak,2026-01-28,synthetic
platform_conflict,True,York,York,Platform 4,YORK_WEST_2245_3292,west_coast_main_line,West Coast Main Line,Glasgow Central,22:45:00,22:47:00,23:02:00,17,Two trains scheduled for same platform at overlapping times,moderate,night,2026-01-28,synthetic
headway_conflict,True,London Euston,London Euston,Platform 10,LOND_WEST_0815_6632,west_coast_main_line,West Coast Main Line,Manchester Piccadilly,08:15:00,08:17:00,08:28:00,13,Insufficient time between consecutive trains,minor,morning_peak,2026-01-28,synthetic
headway_conflict,True,London Euston,London Euston,Platform 18,LOND_MIDL_1615_5854,midland_main_line,Midland Main Line,Birmingham New Street,16:15:00,16:17:00,16:20:00,5,Insufficient time between consecutive trains,minor,off_peak,2026-01-28,synthetic
schedule_inconsistency_conflict,True,Manchester Piccadilly,Manchester Piccadilly,Platform 5,MANC_WEST_0915_7466,west_coast_main_line,West Coast Main Line,Birmingham New Street,09:15:00,09:17:00,09:30:00,15,Schedule doesn't match published timetable,minor,off_peak,2026-01-28,synthetic
capacity_congestion_conflict,True,London Kings Cross,London Kings Cross,Platform 11,LOND_SOUT_1515_7103,south_western_main_line,South Western Main Line,Southampton,15:15:00,15:17:00,16:11:00,56,Too many trains competing for limited platforms,severe,off_peak,2026-01-28,synthetic
platform_conflict,True,Manchester Piccadilly,Manchester Piccadilly,Platform 5,MANC_EAST_0700_2699,east_coast_main_line,East Coast Main Line,Leeds,07:00:00,07:02:00,07:39:00,39,Two trains scheduled for same platform at overlapping times,severe,morning_peak,2026-01-28,synthetic
delay_propagation_conflict,True,Manchester Piccadilly,Manchester Piccadilly,Platform 8,MANC_SOUT_1030_2054,south_western_main_line,South Western Main Line,Southampton,10:30:00,10:32:00,10:43:00,13,Incoming delay affects downstream schedule,minor,off_peak,2026-01-28,synthetic
delay_propagation_conflict,True,Leeds,Leeds,Platform 6,LEED_SOUT_1945_2814,south_western_main_line,South Western Main Line,Southampton,19:45:00,19:47:00,19:58:00,13,Incoming delay affects downstream schedule,minor,evening_peak,2026-01-28,synthetic
capacity_congestion_conflict,True,London Euston,London Euston,Platform 2,LOND_EAST_2100_1998,east_coast_main_line,East Coast Main Line,Edinburgh Waverley,21:00:00,21:02:00,21:51:00,51,Too many trains competing for limited platforms,severe,night,2026-01-28,synthetic
delay_propagation_conflict,True,Leeds,Leeds,Platform 8,LEED_EAST_1300_8008,east_coast_main_line,East Coast Main Line,Leeds,13:00:00,13:02:00,13:55:00,55,Incoming delay affects downstream schedule,severe,off_peak,2026-01-28,synthetic
platform_conflict,True,Manchester Piccadilly,Manchester Piccadilly,Platform 7,MANC_WEST_1300_8011,west_coast_main_line,West Coast Main Line,Glasgow Central,13:00:00,13:02:00,13:22:00,22,Two trains scheduled for same platform at overlapping times,moderate,off_peak,2026-01-28,synthetic
delay_propagation_conflict,True,London Paddington,London Paddington,Platform 4,LOND_WEST_1715_5593,west_coast_main_line,West Coast Main Line,Manchester Piccadilly,17:15:00,17:17:00,17:28:00,13,Incoming delay affects downstream schedule,minor,evening_peak,2026-01-28,synthetic
platform_conflict,True,Birmingham New Street,Birmingham New Street,Platform 3,BIRM_WEST_0600_8891,west_coast_main_line,West Coast Main Line,Manchester Piccadilly,06:00:00,06:02:00,06:36:00,36,Two trains scheduled for same platform at overlapping times,severe,morning_peak,2026-01-28,synthetic
platform_conflict,True,London Paddington,London Paddington,Platform 9,LOND_EAST_1645_6375,east_coast_main_line,East Coast Main Line,Leeds,16:45:00,16:47:00,17:26:00,41,Two trains scheduled for same platform at overlapping times,severe,off_peak,2026-01-28,synthetic
headway_conflict,True,Glasgow Central,Glasgow Central,Platform 8,GLAS_GREA_1530_2820,great_western_main_line,Great Western Main Line,Bristol,15:30:00,15:32:00,15:36:00,6,Insufficient time between consecutive trains,minor,off_peak,2026-01-28,synthetic
capacity_congestion_conflict,True,Leeds,Leeds,Platform 6,LEED_WEST_2145_8338,west_coast_main_line,West Coast Main Line,Glasgow Central,21:45:00,21:47:00,22:49:00,64,Too many trains competing for limited platforms,severe,night,2026-01-28,synthetic
headway_conflict,True,London Paddington,London Paddington,Platform 10,LOND_SOUT_1430_2554,south_western_main_line,South Western Main Line,Southampton,14:30:00,14:32:00,14:38:00,8,Insufficient time between consecutive trains,minor,off_peak,2026-01-28,synthetic
capacity_congestion_conflict,True,London Paddington,London Paddington,Platform 13,LOND_EAST_2215_7359,east_coast_main_line,East Coast Main Line,York,22:15:00,22:17:00,23:21:00,66,Too many trains competing for limited platforms,severe,night,2026-01-28,synthetic
platform_conflict,True,London Kings Cross,London Kings Cross,Platform 10,LOND_WEST_1445_5929,west_coast_main_line,West Coast Main Line,Glasgow Central,14:45:00,14:47:00,15:09:00,24,Two trains scheduled for same platform at overlapping times,moderate,off_peak,2026-01-28,synthetic
capacity_congestion_conflict,True,Glasgow Central,Glasgow Central,Platform 8,GLAS_SOUT_0845_9810,south_western_main_line,South Western Main Line,Southampton,08:45:00,08:47:00,09:48:00,63,Too many trains competing for limited platforms,severe,morning_peak,2026-01-28,synthetic
capacity_congestion_conflict,True,London St Pancras,London St Pancras,Platform 8,LOND_GREA_0915_2721,great_western_main_line,Great Western Main Line,Bristol,09:15:00,09:17:00,09:40:00,25,Too many trains competing for limited platforms,moderate,off_peak,2026-01-28,synthetic
normal,False,Leeds,Leeds,Platform 3,LEED_EAST_2215_4259,east_coast_main_line,East Coast Main Line,Edinburgh Waverley,22:15:00,22:17:00,,0,,none,night,2026-01-28,synthetic
capacity_congestion_conflict,True,London Victoria,London Victoria,Platform 4,LOND_EAST_0800_9709,east_coast_main_line,East Coast Main Line,Edinburgh Waverley,08:00:00,08:02:00,08:38:00,38,Too many trains competing for limited platforms,severe,morning_peak,2026-01-28,synthetic
capacity_congestion_conflict,True,Manchester Piccadilly,Manchester Piccadilly,Platform 1,MANC_SOUT_0915_1953,south_western_main_line,South Western Main Line,Southampton,09:15:00,09:17:00,09:46:00,31,Too many trains competing for limited platforms,severe,off_peak,2026-01-28,synthetic
delay_propagation_conflict,True,Edinburgh Waverley,Edinburgh Waverley,Platform 8,EDIN_EAST_1630_2531,east_coast_main_line,East Coast Main Line,Edinburgh Waverley,16:30:00,16:32:00,17:20:00,50,Incoming delay affects downstream schedule,severe,off_peak,2026-01-28,synthetic
headway_conflict,True,Leeds,Leeds,Platform 3,LEED_GREA_2115_9023,great_western_main_line,Great Western Main Line,Bristol,21:15:00,21:17:00,21:33:00,18,Insufficient time between consecutive trains,moderate,night,2026-01-28,synthetic
normal,False,Manchester Piccadilly,Manchester Piccadilly,Platform 2,MANC_SOUT_1130_6049,south_western_main_line,South Western Main Line,Southampton,11:30:00,11:32:00,,0,,none,off_peak,2026-01-28,synthetic
capacity_congestion_conflict,True,Leeds,Leeds,Platform 5,LEED_WEST_2030_6052,west_coast_main_line,West Coast Main Line,Birmingham New Street,20:30:00,20:32:00,21:36:00,66,Too many trains competing for limited platforms,severe,night,2026-01-28,synthetic
headway_conflict,True,Glasgow Central,Glasgow Central,Platform 5,GLAS_WEST_1845_6959,west_coast_main_line,West Coast Main Line,Birmingham New Street,18:45:00,18:47:00,18:56:00,11,Insufficient time between consecutive trains,minor,evening_peak,2026-01-28,synthetic
capacity_congestion_conflict,True,London Paddington,London Paddington,Platform 14,LOND_GREA_1645_4479,great_western_main_line,Great Western Main Line,Bristol,16:45:00,16:47:00,18:14:00,89,Too many trains competing for limited platforms,severe,off_peak,2026-01-28,synthetic
service_gap_conflict,True,Glasgow Central,Glasgow Central,Platform 2,GLAS_MIDL_0900_8300,midland_main_line,Midland Main Line,Birmingham New Street,09:00:00,09:02:00,09:51:00,51,Excessive gap in service on a route,severe,off_peak,2026-01-28,synthetic
delay_propagation_conflict,True,London Paddington,London Paddington,Platform 12,LOND_WEST_0745_2169,west_coast_main_line,West Coast Main Line,Glasgow Central,07:45:00,07:47:00,07:57:00,12,Incoming delay affects downstream schedule,minor,morning_peak,2026-01-28,synthetic
headway_conflict,True,Edinburgh Waverley,Edinburgh Waverley,Platform 2,EDIN_EAST_1900_3784,east_coast_main_line,East Coast Main Line,York,19:00:00,19:02:00,19:13:00,13,Insufficient time between consecutive trains,minor,evening_peak,2026-01-28,synthetic
headway_conflict,True,Birmingham New Street,Birmingham New Street,Platform 6,BIRM_EAST_1515_7943,east_coast_main_line,East Coast Main Line,Leeds,15:15:00,15:17:00,15:27:00,12,Insufficient time between consecutive trains,minor,off_peak,2026-01-28,synthetic
headway_conflict,True,London Kings Cross,London Kings Cross,Platform 11,LOND_EAST_1000_2018,east_coast_main_line,East Coast Main Line,Edinburgh Waverley,10:00:00,10:02:00,10:13:00,13,Insufficient time between consecutive trains,minor,off_peak,2026-01-28,synthetic
delay_propagation_conflict,True,London Victoria,London Victoria,Platform 3,LOND_EAST_1245_5063,east_coast_main_line,East Coast Main Line,York,12:45:00,12:47:00,13:22:00,37,Incoming delay affects downstream schedule,severe,off_peak,2026-01-28,synthetic
platform_conflict,True,London Victoria,London Victoria,Platform 8,LOND_MIDL_0745_6496,midland_main_line,Midland Main Line,Birmingham New Street,07:45:00,07:47:00,08:02:00,17,Two trains scheduled for same platform at overlapping times,moderate,morning_peak,2026-01-28,synthetic
headway_conflict,True,Leeds,Leeds,Platform 1,LEED_SOUT_1830_7582,south_western_main_line,South Western Main Line,Southampton,18:30:00,18:32:00,18:41:00,11,Insufficient time between consecutive trains,minor,evening_peak,2026-01-28,synthetic
headway_conflict,True,London Paddington,London Paddington,Platform 13,LOND_WEST_0600_6612,west_coast_main_line,West Coast Main Line,Manchester Piccadilly,06:00:00,06:02:00,06:05:00,5,Insufficient time between consecutive trains,minor,morning_peak,2026-01-28,synthetic
headway_conflict,True,London St Pancras,London St Pancras,Platform 2,LOND_SOUT_1415_6581,south_western_main_line,South Western Main Line,Southampton,14:15:00,14:17:00,14:20:00,5,Insufficient time between consecutive trains,minor,off_peak,2026-01-28,synthetic
